generator,copyright,minlat,minlon,maxlat,maxlon,id,visible,version2,timestamp,uid,lat,lon
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,297723869,TRUE,2,2014-02-25T15:53:21Z,715371,52.1291171,8.4158905
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,297723870,TRUE,3,2022-11-16T19:24:58Z,34927,52.1291914,8.4163314
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309633649,TRUE,3,2015-03-24T22:02:26Z,189689,52.1283418,8.4132749
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309633650,TRUE,4,2021-08-09T16:13:23Z,879327,52.1271444,8.4148205
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309633652,TRUE,3,2021-08-09T16:13:23Z,879327,52.1268445,8.4149939
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309633654,TRUE,4,2021-08-09T16:13:23Z,879327,52.1270218,8.4155295
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309633656,TRUE,3,2015-02-10T08:43:39Z,189689,52.1264019,8.4154127
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309636314,TRUE,4,2011-08-31T16:44:00Z,55858,52.1259759,8.4155791
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637354,TRUE,2,2015-02-09T11:56:43Z,189689,52.126979,8.4187164
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637356,TRUE,2,2015-02-09T11:56:43Z,189689,52.1267665,8.4190949
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637357,TRUE,3,2015-02-09T11:56:43Z,189689,52.1270034,8.4200286
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637358,TRUE,3,2018-03-31T16:55:35Z,34927,52.1273958,8.4195209
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637363,TRUE,2,2022-11-16T19:24:58Z,34927,52.1277297,8.4193341
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,309637364,TRUE,3,2022-11-16T19:24:58Z,34927,52.1278114,8.4189455
